2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:__init__:81 | Инициализирован менеджер агентов
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Основной ассистент (ID: default)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Python-ассистент (ID: python)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Математический ассистент (ID: math)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:register_agent:95 | Установлен агент по умолчанию: Основной ассистент (ID: default)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Основной ассистент (ID: default)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Python-ассистент (ID: python)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Математический ассистент (ID: math)
2025-03-10 21:21:38 | INFO | multi_agent_system.agents.agent_manager:initialize_default_agents:203 | Стандартные агенты инициализированы и зарегистрированы
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:__init__:81 | Инициализирован менеджер агентов
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Основной ассистент (ID: default)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Python-ассистент (ID: python)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Математический ассистент (ID: math)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:register_agent:95 | Установлен агент по умолчанию: Основной ассистент (ID: default)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Основной ассистент (ID: default)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Python-ассистент (ID: python)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Математический ассистент (ID: math)
2025-03-10 23:52:09 | INFO | multi_agent_system.agents.agent_manager:initialize_default_agents:203 | Стандартные агенты инициализированы и зарегистрированы
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:__init__:81 | Инициализирован менеджер агентов
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Основной ассистент (ID: default)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Python-ассистент (ID: python)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Математический ассистент (ID: math)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:register_agent:95 | Установлен агент по умолчанию: Основной ассистент (ID: default)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Основной ассистент (ID: default)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Python-ассистент (ID: python)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Математический ассистент (ID: math)
2025-03-10 23:53:32 | INFO | multi_agent_system.agents.agent_manager:initialize_default_agents:203 | Стандартные агенты инициализированы и зарегистрированы
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:__init__:81 | Инициализирован менеджер агентов
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Основной ассистент (ID: default)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Python-ассистент (ID: python)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Математический ассистент (ID: math)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:register_agent:95 | Установлен агент по умолчанию: Основной ассистент (ID: default)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Основной ассистент (ID: default)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Python-ассистент (ID: python)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Математический ассистент (ID: math)
2025-03-10 23:54:29 | INFO | multi_agent_system.agents.agent_manager:initialize_default_agents:203 | Стандартные агенты инициализированы и зарегистрированы
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:__init__:81 | Инициализирован менеджер агентов
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Основной ассистент (ID: default)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Python-ассистент (ID: python)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Математический ассистент (ID: math)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:register_agent:95 | Установлен агент по умолчанию: Основной ассистент (ID: default)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Основной ассистент (ID: default)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Python-ассистент (ID: python)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:register_agent:97 | Зарегистрирован агент: Математический ассистент (ID: math)
2025-03-10 23:56:41 | INFO | multi_agent_system.agents.agent_manager:initialize_default_agents:203 | Стандартные агенты инициализированы и зарегистрированы
2025-03-10 23:58:22 | INFO | multi_agent_system.agents.agent_manager:__init__:81 | Инициализирован менеджер агентов
2025-03-10 23:58:22 | INFO | multi_agent_system.agents.agent_manager:__init__:43 | Инициализирован агент: Основной ассистент (ID: default)
